
Quadro extraído em 10 de Junho de 2026 (16:28:10)
http://www.ine.pt



Período de referência dos dados;Local de residência à data dos Censos [2021] (NUTS - 2013);População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2013), Sexo e Grupo etário (Por ciclos de vida) -  Decenal;;;;;;;;;;;;
;;Sexo;;;;;;;;;;;;
;;HM;;;;H;;;;M;;;;
;;Grupo etário (Por ciclos de vida);;;;;;;;;;;;
;;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;Total;15 - 24 anos;25 - 64 anos;65 e mais anos;
;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;0907: Guarda;40117;4156;21341;10134;19118;2124;10366;4366;20999;2032;10975;5768;
;0908: Manteigas;2909;240;1355;1100;1355;112;668;474;1554;128;687;626;
;0909: Mêda;4630;358;2102;1777;2199;197;1039;768;2431;161;1063;1009;
;0910: Pinhel;8092;669;3668;3124;3879;348;1839;1357;4213;321;1829;1767;
;0911: Sabugal;11280;730;4666;5073;5327;368;2398;2159;5953;362;2268;2914;
;0912: Seia;21755;1796;10382;7500;10296;925;5029;3282;11459;871;5353;4218;
;0913: Trancoso;8413;677;3958;3034;3980;351;1959;1276;4433;326;1999;1758;
;1502: Alcochete;19143;2269;10335;3407;9204;1159;4985;1500;9939;1110;5350;1907;
;1503: Almada;177238;18681;92153;42185;83208;9587;43309;17821;94030;9094;48844;24364;
;1115: Amadora;171454;18058;90958;38087;79393;9059;42356;15592;92061;8999;48602;22495;
;1504: Barreiro;78345;8203;39794;20025;36702;4123;18865;8435;41643;4080;20929;11590;
;1105: Cascais;214124;23515;111111;48461;99766;12107;51639;20013;114358;11408;59472;28448;
;1106: Lisboa;545796;55069;291739;127768;254179;27794;140464;49203;291617;27275;151275;78565;
;1107: Loures;201590;21732;105929;44306;95120;11063;49958;18793;106470;10669;55971;25513;
;1109: Mafra;86515;9794;47169;15375;41916;4997;22927;6764;44599;4797;24242;8611;
;1506: Moita;66255;7370;34562;14514;31348;3785;16299;6198;34907;3585;18263;8316;
